ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
0.721	0.835	1.023	0.371	0.366
1.315	0.811	1.521	0.782	1.079
0.903	0.459	1.201	0.331	0.675
1.024	1.184	1.520	0.509	0.657
0.553	0.102	2.720	-0.872	0.071
0.772	0.448	2.082	-0.166	0.584
1.286	1.163	2.387	0.541	0.976
0.573	0.304	0.420	0.282	0.314
0.564	0.176	1.158	-0.028	0.330
0.545	0.191	2.248	-0.511	0.202
0.596	0.287	0.572	0.256	0.337
0.672	0.417	0.698	0.241	0.278
0.491	0.534	0.704	0.052	0.061
0.505	0.323	1.081	-0.097	0.219
0.700	0.412	1.989	-0.132	0.408
0.835	0.626	1.001	0.426	0.554
0.555	0.232	0.761	0.088	0.119
0.365	0.153	0.598	-0.068	0.092
0.444	0.223	0.258	0.217	0.224
0.363	0.040	0.474	-0.066	0.034
0.748	0.502	0.648	0.427	0.458
0.758	0.467	2.113	-0.016	0.542
1.482	1.349	1.365	1.349	1.356
1.081	0.857	0.986	0.813	0.835
0.952	0.886	0.876	0.892	0.887
1.205	0.904	1.291	0.860	0.968
2.096	2.047	2.468	1.691	1.730
1.263	1.146	1.867	0.770	1.035
1.809	1.501	3.210	1.051	1.635
0.574	0.451	0.451	0.450	0.448
0.763	0.604	0.621	0.607	0.616
0.712	0.905	1.216	0.351	0.347
0.355	0.163	1.416	-0.310	0.078
0.359	0.187	1.546	-0.316	0.191
0.265	0.040	1.700	-0.509	0.066
0.507	0.240	0.651	0.117	0.224
0.576	0.392	0.466	0.357	0.363
0.619	0.214	1.308	0.071	0.566
1.030	0.691	2.448	0.221	0.800
1.101	0.756	1.329	0.754	0.936
