ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
0.079	-0.012	0.460	-0.058	0.178
0.484	0.435	1.030	0.297	0.382
0.673	0.644	1.348	0.476	0.623
0.593	0.478	0.903	0.442	0.479
1.089	1.136	1.242	1.029	1.027
0.062	-0.072	0.566	-0.141	-0.029
0.490	0.466	0.457	0.469	0.466
0.396	0.373	0.365	0.375	0.373
0.722	0.664	0.696	0.661	0.664
0.412	0.343	0.534	0.327	0.394
0.393	0.343	0.346	0.343	0.342
0.203	0.107	0.168	0.097	0.108
0.332	0.390	0.504	0.264	0.261
0.498	0.576	0.716	0.426	0.424
0.037	0.084	0.446	-0.115	-0.085
0.479	0.489	0.977	0.331	0.386
0.282	0.266	0.258	0.267	0.265
0.149	0.144	0.361	0.094	0.105
0.416	0.384	0.635	0.337	0.411
0.191	0.221	0.369	0.137	0.206
0.357	0.312	0.356	0.312	0.339
0.494	0.371	0.862	0.367	0.546
